id,city,country,month,name,series,state,year,date,cun,location_type,location_path,latitude,longitude
russia_icon,,Russia,January,Russia,icon,,2014,2014-01-01,,country,Russia,64.6863136,97.7453061
russia_yah,,Russia,August,Russia,yah,,2018,2018-08-01,,country,Russia,64.6863136,97.7453061
russia_yaho,,Russia,August,Russia,yaho,,2019,2019-08-01,,country,Russia,64.6863136,97.7453061
russia_yahx,,Russia,October,Russia,yahx,,2018,2018-10-01,,country,Russia,64.6863136,97.7453061
saarbruecken_icon,Saarbruecken,Germany,January,Saarbrücken,icon,,2012,2012-01-01,Saarbruecken,city,"Saarbruecken, Germany",49.234362,6.996378999999999
sabah_icon,Sabah,Malaysia,January,Sabah,icon,,2009,2009-01-01,Sabah,city,"Sabah, Malaysia",5.595237,117.00517340000002
sabah_rlf,,Malaysia,January,Sabah,rlf,Sabah,2014,2014-01-01,,state,"Sabah, Malaysia",5.595237,117.00517340000002
sacramento_icon,Sacramento,United States,January,Sacramento,icon,California,2009,2009-01-01,Sacramento,city,"Sacramento, California, United States",38.5815719,-121.49439960000001
salzburg_icon,Salzburg,Austria,January,Salzburg,icon,,2014,2014-01-01,Salzburg,city,"Salzburg, Austria",47.798134600000004,13.046480599999999
salzburg_yah,Salzburg,Austria,June,Salzburg,yah,,2017,2017-06-01,Salzburg,city,"Salzburg, Austria",47.798134600000004,13.046480599999999
samara_icon,Samara,Russia,January,Samara,icon,,2015,2015-01-01,Samara,city,"Samara, Russia",53.198627,50.113987
san_antonio_bts,San Antonio,United States,April,San Antonio,bts,Texas,2018,2018-04-01,San Antonio,city,"San Antonio, Texas, United States",29.424600199999997,-98.4951405
san_antonio_icon,San Antonio,United States,January,San Antonio,icon,Texas,2009,2009-01-01,San Antonio,city,"San Antonio, Texas, United States",29.424600199999997,-98.4951405
san_antonio_yah,San Antonio,United States,April,San Antonio,yah,Texas,2013,2013-04-01,San Antonio,city,"San Antonio, Texas, United States",29.424600199999997,-98.4951405
san_diego_btr1,San Diego,United States,May,San Diego v.1,bts,California,2018,2018-05-01,San Diego,city,"San Diego, California, United States",32.7174209,-117.16277140000001
san_diego_bts,San Diego,United States,June,San Diego v.2,bts,California,2018,2018-06-01,San Diego,city,"San Diego, California, United States",32.7174209,-117.16277140000001
